day,hour,num_users,karma
0.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,2.0,1.0,1.0
0.0,3.0,1.0,1.0
0.0,4.0,1.0,1.0
0.0,5.0,1.0,1.0
0.0,6.0,1.0,1.0
0.0,7.0,1.0,1.0
0.0,8.0,1.0,1.0
0.0,9.0,8790.0,15.0
0.0,10.0,7378.0,18.0
0.0,11.0,7210.0,9.0
0.0,12.0,6254.0,9177.0
0.0,13.0,1.0,1.0
0.0,14.0,1.0,1.0
0.0,15.0,1.0,1.0
0.0,16.0,6208.666666666667,1101.3333333333333
0.0,17.0,8707.0,10.0
0.0,18.0,9450.0,1.0
0.0,19.0,4898.0,0.0
0.0,20.0,1.0,1.0
0.0,21.0,1.0,1.0
0.0,22.0,1.0,1.0
0.0,23.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0
1.0,3.0,1.0,1.0
1.0,4.0,1.0,1.0
1.0,5.0,1.0,1.0
1.0,6.0,4135.0,5069.0
1.0,7.0,1.0,1.0
1.0,8.0,1.0,1.0
1.0,9.0,1.0,1.0
1.0,10.0,1.0,1.0
1.0,11.0,7365.0,4.0
1.0,12.0,1.0,1.0
1.0,13.0,1.0,1.0
1.0,14.0,1.0,1.0
1.0,15.0,1.0,1.0
1.0,16.0,7245.0,8.0
1.0,17.0,6422.0,30.0
1.0,18.0,1.0,1.0
1.0,19.0,1.0,1.0
1.0,20.0,1.0,1.0
1.0,21.0,1.0,1.0
1.0,22.0,1.0,1.0
1.0,23.0,1.0,1.0
2.0,0.0,1.0,1.0
2.0,1.0,1.0,1.0
2.0,2.0,1.0,1.0
2.0,3.0,1.0,1.0
2.0,4.0,1.0,1.0
2.0,5.0,5475.0,534.0
2.0,6.0,1.0,1.0
2.0,7.0,1.0,1.0
2.0,8.0,1.0,1.0
2.0,9.0,6383.5,1545.0
2.0,10.0,1.0,1.0
2.0,11.0,1.0,1.0
2.0,12.0,1.0,1.0
2.0,13.0,4633.0,-1.0
2.0,14.0,1.0,1.0
2.0,15.0,1.0,1.0
2.0,16.0,1.0,1.0
2.0,17.0,5801.0,3.0
2.0,18.0,1.0,1.0
2.0,19.0,1.0,1.0
2.0,20.0,1.0,1.0
2.0,21.0,1.0,1.0
2.0,22.0,1.0,1.0
2.0,23.0,1.0,1.0
3.0,0.0,1.0,1.0
3.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0
3.0,3.0,1.0,1.0
3.0,4.0,3543.5,3747.0
3.0,5.0,1.0,1.0
3.0,6.0,1.0,1.0
3.0,7.0,11080.0,21.666666666666668
3.0,8.0,10930.0,3.0
3.0,9.0,1.0,1.0
3.0,10.0,7366.0,0.5
3.0,11.0,6445.0,4.0
3.0,12.0,6445.0,5.0
3.0,13.0,6207.666666666667,5.333333333333333
3.0,14.0,1.0,1.0
3.0,15.0,1.0,1.0
3.0,16.0,1.0,1.0
3.0,17.0,1.0,1.0
3.0,18.0,4433.0,33.25
3.0,19.0,1.0,1.0
3.0,20.0,1.0,1.0
3.0,21.0,1.0,1.0
3.0,22.0,1.0,1.0
3.0,23.0,1.0,1.0
4.0,0.0,1.0,1.0
4.0,1.0,1.0,1.0
4.0,2.0,1.0,1.0
4.0,3.0,1.0,1.0
4.0,4.0,1.0,1.0
4.0,5.0,1.0,1.0
4.0,6.0,1.0,1.0
4.0,7.0,1.0,1.0
4.0,8.0,9352.0,8.666666666666666
4.0,9.0,8221.0,1.0
4.0,10.0,8221.0,8.0
4.0,11.0,6964.0,5.333333333333333
4.0,12.0,6453.0,34.0
4.0,13.0,1.0,1.0
4.0,14.0,1.0,1.0
4.0,15.0,4352.0,-1.0
4.0,16.0,4352.0,5.0
4.0,17.0,1.0,1.0
4.0,18.0,1.0,1.0
4.0,19.0,1.0,1.0
4.0,20.0,1.0,1.0
4.0,21.0,1.0,1.0
4.0,22.0,2825.0,1234.0
4.0,23.0,1.0,1.0
5.0,0.0,1.0,1.0
5.0,1.0,1.0,1.0
5.0,2.0,1.0,1.0
5.0,3.0,1.0,1.0
5.0,4.0,1.0,1.0
5.0,5.0,1.0,1.0
5.0,6.0,1.0,1.0
5.0,7.0,1.0,1.0
5.0,8.0,4094.0,5814.0
5.0,9.0,1.0,1.0
5.0,10.0,1.0,1.0
5.0,11.0,7436.0,11.0
5.0,12.0,7436.0,-1.0
5.0,13.0,1.0,1.0
5.0,14.0,7549.0,37.0
5.0,15.0,1.0,1.0
5.0,16.0,1.0,1.0
5.0,17.0,1.0,1.0
5.0,18.0,1.0,1.0
5.0,19.0,1.0,1.0
5.0,20.0,1.0,1.0
5.0,21.0,4620.0,19.0
5.0,22.0,4206.0,1.0
5.0,23.0,1.0,1.0
6.0,0.0,1.0,1.0
6.0,1.0,1.0,1.0
6.0,2.0,1.0,1.0
6.0,3.0,1.0,1.0
6.0,4.0,2964.0,6819.0
6.0,5.0,3453.0,84.0
6.0,6.0,1.0,1.0
6.0,7.0,1.0,1.0
6.0,8.0,7018.0,2.0
6.0,9.0,7441.0,30.0
6.0,10.0,7484.0,85.0
6.0,11.0,1.0,1.0
6.0,12.0,6526.0,3.0
6.0,13.0,1.0,1.0
6.0,14.0,1.0,1.0
6.0,15.0,1.0,1.0
6.0,16.0,4160.0,5.0
6.0,17.0,4162.0,17.0
6.0,18.0,1.0,1.0
6.0,19.0,3178.0,2.0
6.0,20.0,3355.0,10.0
6.0,21.0,1.0,1.0
6.0,22.0,1.0,1.0
6.0,23.0,3015.0,6973.0
