,day,hour,num_users,karma
150,6.0,6.0,1.0,0.0
151,6.0,7.0,1.0,0.0
152,6.0,8.0,7018.0,2.0
153,6.0,9.0,7441.0,30.0
154,6.0,10.0,7484.0,85.0
155,6.0,11.0,1.0,0.0
156,6.0,12.0,6526.0,3.0
157,6.0,13.0,1.0,0.0
158,6.0,14.0,1.0,0.0
159,6.0,15.0,1.0,0.0
160,6.0,16.0,4160.0,5.0
161,6.0,17.0,4162.0,17.0
162,6.0,18.0,1.0,0.0
163,6.0,19.0,3178.0,2.0
164,6.0,20.0,3355.0,10.0
165,6.0,21.0,1.0,0.0
166,6.0,22.0,1.0,0.0
167,6.0,23.0,3015.0,6973.0
