day,hour,num_users,karma
0.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,2.0,1.0,1.0
0.0,3.0,1.0,1.0
0.0,4.0,1.0,1.0
0.0,5.0,1.0,1.0
0.0,6.0,3269.0,253.66666666666666
0.0,7.0,3155.8,67.6
0.0,8.0,2980.4,5.4
0.0,9.0,3630.4285714285716,68.14285714285714
0.0,10.0,4063.5,4.75
0.0,11.0,4436.8,7.7
0.0,12.0,4855.25,3.25
0.0,13.0,4568.5,0.8333333333333334
0.0,14.0,4907.363636363636,1.8181818181818181
0.0,15.0,4307.75,3.875
0.0,16.0,4083.0,2.857142857142857
0.0,17.0,3905.5,36.75
0.0,18.0,3822.0,3.5
0.0,19.0,3892.0,277.8333333333333
0.0,20.0,4219.4,7.2
0.0,21.0,4838.0,9.666666666666666
0.0,22.0,4443.818181818182,7.181818181818182
0.0,23.0,3771.0,18.5
1.0,0.0,3771.0,3.0
1.0,1.0,2645.75,7.0
1.0,2.0,2210.0,47.0
1.0,3.0,1.0,1.0
1.0,4.0,2512.0,32.0
1.0,5.0,2758.0,58.0
1.0,6.0,2889.5,27.0
1.0,7.0,2777.0,343.0
1.0,8.0,3241.0,14.0
1.0,9.0,3545.0,8.75
1.0,10.0,4014.5,0.9166666666666666
1.0,11.0,4248.0,51.357142857142854
1.0,12.0,4584.0,4.666666666666667
1.0,13.0,4069.5,4.8
1.0,14.0,4131.857142857143,3.857142857142857
1.0,15.0,4074.4285714285716,5.571428571428571
1.0,16.0,3850.0,1.75
1.0,17.0,3711.125,40.0
1.0,18.0,3898.25,0.25
1.0,19.0,3894.5,1.8333333333333333
1.0,20.0,3704.5714285714284,8.571428571428571
1.0,21.0,3633.0,0.0
1.0,22.0,4294.0,58.75
1.0,23.0,3758.0,5.666666666666667
2.0,0.0,3344.75,25.75
2.0,1.0,3044.0,0.25
2.0,2.0,2714.0,-1.0
2.0,3.0,2650.5,0.5
2.0,4.0,2862.5,425.25
2.0,5.0,3138.0,59.0
2.0,6.0,3656.3333333333335,5.333333333333333
2.0,7.0,3446.4,12.0
2.0,8.0,3592.8,14.8
2.0,9.0,4113.166666666667,18.5
2.0,10.0,4336.714285714285,3.7142857142857144
2.0,11.0,4230.5,18.5
2.0,12.0,3934.0,67.0
2.0,13.0,3862.4,3.4
2.0,14.0,4084.2,3.6
2.0,15.0,3770.5,19.5
2.0,16.0,3187.3333333333335,4.111111111111111
2.0,17.0,3264.6,6.8
2.0,18.0,3229.0,6.8
2.0,19.0,3241.0,2.6
2.0,20.0,3316.5,3.0
2.0,21.0,3887.1428571428573,165.85714285714286
2.0,22.0,4185.0,14.0
2.0,23.0,3697.0,3.0
3.0,0.0,3697.0,20.0
3.0,1.0,2939.0,13.0
3.0,2.0,1.0,1.0
3.0,3.0,1.0,1.0
3.0,4.0,2822.0,64.0
3.0,5.0,3088.0,2.0
3.0,6.0,3162.0,5.0
3.0,7.0,3310.0,32.0
3.0,8.0,3188.6666666666665,26.0
3.0,9.0,3592.0,17.0
3.0,10.0,3647.8,286.5
3.0,11.0,3919.0,22.0
3.0,12.0,4158.0,47.333333333333336
3.0,13.0,4055.25,4.75
3.0,14.0,3752.25,13.5
3.0,15.0,3971.0,10.0
3.0,16.0,3964.0,4.0
3.0,17.0,3634.0,91.0
3.0,18.0,3528.0,7.333333333333333
3.0,19.0,3598.0,4.75
