,day,hour,num_users,karma
0,0.0,0.0,1.0,0.0
1,0.0,1.0,1.0,0.0
2,0.0,2.0,1.0,0.0
3,0.0,3.0,1.0,0.0
4,0.0,4.0,1.0,0.0
5,0.0,5.0,1.0,0.0
6,0.0,6.0,1.0,0.0
7,0.0,7.0,1.0,0.0
8,0.0,8.0,80.25,14.0
9,0.0,9.0,1.0,0.0
10,0.0,10.0,1.0,0.0
11,0.0,11.0,83.0,-1.0
12,0.0,12.0,77.0,5.0
13,0.0,13.0,1.0,0.0
14,0.0,14.0,1.0,0.0
15,0.0,15.0,83.0,3.5
16,0.0,16.0,46.0,5.0
17,0.0,17.0,1.0,0.0
18,0.0,18.0,1.0,0.0
19,0.0,19.0,1.0,0.0
20,0.0,20.0,1.0,0.0
21,0.0,21.0,1.0,0.0
22,0.0,22.0,1.0,0.0
23,0.0,23.0,1.0,0.0
24,1.0,0.0,1.0,0.0
25,1.0,1.0,1.0,0.0
26,1.0,2.0,1.0,0.0
27,1.0,3.0,1.0,0.0
28,1.0,4.0,50.0,80.0
29,1.0,5.0,1.0,0.0
30,1.0,6.0,83.0,1.0
31,1.0,7.0,1.0,0.0
32,1.0,8.0,1.0,0.0
33,1.0,9.0,147.0,-2.0
34,1.0,10.0,1.0,0.0
35,1.0,11.0,124.0,-1.0
36,1.0,12.0,1.0,0.0
37,1.0,13.0,1.0,0.0
38,1.0,14.0,1.0,0.0
39,1.0,15.0,1.0,0.0
40,1.0,16.0,1.0,0.0
41,1.0,17.0,1.0,0.0
42,1.0,18.0,1.0,0.0
43,1.0,19.0,1.0,0.0
44,1.0,20.0,1.0,0.0
45,1.0,21.0,1.0,0.0
46,1.0,22.0,72.0,0.0
47,1.0,23.0,1.0,0.0
48,2.0,0.0,1.0,0.0
49,2.0,1.0,1.0,0.0
50,2.0,2.0,1.0,0.0
51,2.0,3.0,1.0,0.0
52,2.0,4.0,55.0,14.0
53,2.0,5.0,1.0,0.0
54,2.0,6.0,1.0,0.0
55,2.0,7.0,1.0,0.0
56,2.0,8.0,53.0,20.0
57,2.0,9.0,44.0,9.0
58,2.0,10.0,1.0,0.0
59,2.0,11.0,1.0,0.0
60,2.0,12.0,1.0,0.0
61,2.0,13.0,1.0,0.0
62,2.0,14.0,1.0,0.0
63,2.0,15.0,1.0,0.0
64,2.0,16.0,73.0,1.0
65,2.0,17.0,1.0,0.0
66,2.0,18.0,59.0,-1.0
67,2.0,19.0,1.0,0.0
68,2.0,20.0,100.0,0.0
69,2.0,21.0,57.0,19.0
70,2.0,22.0,1.0,0.0
71,2.0,23.0,58.0,18.0
72,3.0,0.0,52.0,0.0
