day,hour,num_users,karma
0.0,0.0,2581.0,-1.0
0.0,1.0,2289.0,0.0
0.0,2.0,2387.0,0.6666666666666666
0.0,3.0,1920.0,0.0
0.0,4.0,2005.0,0.0
0.0,5.0,1.0,1.0
0.0,6.0,2369.0,47.0
0.0,7.0,2460.5,181.5
0.0,8.0,2621.0,3.0
0.0,9.0,2769.0,4.5
0.0,10.0,2714.6,14.0
0.0,11.0,2645.0,7.75
0.0,12.0,2821.8,1.0
0.0,13.0,2706.3333333333335,0.7777777777777778
0.0,14.0,2807.6666666666665,2.5
0.0,15.0,2762.6666666666665,-0.6666666666666666
0.0,16.0,2278.0,3.25
0.0,17.0,2195.5,81.25
0.0,18.0,2121.8,16.4
0.0,19.0,2011.0,34.333333333333336
0.0,20.0,2011.0,1.0
0.0,21.0,2955.0,422.0
0.0,22.0,2955.0,-1.0
0.0,23.0,3186.0,21.0
1.0,0.0,2551.0,4.25
1.0,1.0,1945.5,19.5
1.0,2.0,1.0,1.0
1.0,3.0,1733.0,0.0
1.0,4.0,1868.75,123.0
1.0,5.0,1942.0,-1.0
1.0,6.0,2304.0,147.66666666666666
1.0,7.0,2186.0,83.0
1.0,8.0,2483.0,-0.5
1.0,9.0,3643.3333333333335,7.0
1.0,10.0,3480.285714285714,29.0
1.0,11.0,3065.125,4.375
1.0,12.0,3141.25,4.25
1.0,13.0,2805.0,12.375
1.0,14.0,2790.0,1.0
1.0,15.0,2639.4,4.2
1.0,16.0,2559.625,3.875
1.0,17.0,2534.0,111.83333333333333
1.0,18.0,2613.3333333333335,16.0
1.0,19.0,2815.0,29.571428571428573
1.0,20.0,2734.0,3.6666666666666665
1.0,21.0,2834.6666666666665,1.0
1.0,22.0,2999.5,1.5
1.0,23.0,2345.0,0.0
2.0,0.0,2227.0,1.0
2.0,1.0,1821.0,7.0
2.0,2.0,1899.0,94.0
2.0,3.0,1611.0,5.5
2.0,4.0,1762.0,4.0
2.0,5.0,1813.0,638.0
2.0,6.0,1813.0,178.0
2.0,7.0,1922.6666666666667,73.66666666666667
2.0,8.0,1999.0,36.0
2.0,9.0,2389.0,28.75
2.0,10.0,3141.0,2.0
2.0,11.0,2874.0,-0.5
2.0,12.0,2967.0,20.142857142857142
2.0,13.0,2789.0,0.0
2.0,14.0,2715.714285714286,2.857142857142857
2.0,15.0,2600.0,0.8888888888888888
2.0,16.0,2428.5,2.75
