day,num_users,karma
0.0,7131.3,1253.4
1.0,6482.4,1023.8
2.0,5735.2,725.2
3.0,6952.7,386.7
4.0,6947.666666666667,110.25
5.0,5924.625,738.875
6.0,4940.166666666667,1169.4166666666667
