,day,hour,num_users,karma
0,0.0,0.0,185.0,-1.0
1,0.0,1.0,135.0,6.0
2,0.0,2.0,78.0,21.666666666666668
3,0.0,3.0,77.5,3.5
4,0.0,4.0,1.0,0.0
5,0.0,5.0,111.0,0.0
6,0.0,6.0,125.0,0.0
7,0.0,7.0,196.0,2.0
8,0.0,8.0,206.5,43.5
9,0.0,9.0,177.5,0.0
10,0.0,10.0,179.0,10.25
11,0.0,11.0,172.66666666666666,1.3333333333333333
12,0.0,12.0,156.0,2.0
13,0.0,13.0,166.33333333333334,-0.3333333333333333
14,0.0,14.0,392.0,2.5
15,0.0,15.0,167.0,-0.5
16,0.0,16.0,176.0,11.25
17,0.0,17.0,151.5,1.0
18,0.0,18.0,190.0,0.0
19,0.0,19.0,196.5,-0.5
20,0.0,20.0,1.0,0.0
21,0.0,21.0,130.0,3.0
22,0.0,22.0,1.0,0.0
23,0.0,23.0,1.0,0.0
24,1.0,0.0,1.0,0.0
25,1.0,1.0,1.0,0.0
26,1.0,2.0,75.0,0.0
27,1.0,3.0,74.0,1.0
28,1.0,4.0,1.0,0.0
29,1.0,5.0,87.0,5.0
30,1.0,6.0,1.0,0.0
31,1.0,7.0,164.0,1.0
32,1.0,8.0,145.0,1.0
33,1.0,9.0,148.5,15.5
34,1.0,10.0,144.5,2.5
35,1.0,11.0,143.0,7.5
36,1.0,12.0,149.0,1.0
37,1.0,13.0,122.0,3.0
38,1.0,14.0,1.0,0.0
39,1.0,15.0,144.5,5.75
40,1.0,16.0,170.0,1.0
41,1.0,17.0,170.0,12.0
42,1.0,18.0,201.0,1.0
43,1.0,19.0,1.0,0.0
44,1.0,20.0,208.0,23.0
45,1.0,21.0,1.0,0.0
46,1.0,22.0,1.0,0.0
47,1.0,23.0,1.0,0.0
48,2.0,0.0,110.0,3.0
49,2.0,1.0,1.0,0.0
50,2.0,2.0,69.0,4.0
51,2.0,3.0,1.0,0.0
52,2.0,4.0,1.0,0.0
53,2.0,5.0,1.0,0.0
54,2.0,6.0,1.0,0.0
55,2.0,7.0,1.0,0.0
56,2.0,8.0,160.0,6.5
57,2.0,9.0,1.0,0.0
58,2.0,10.0,1.0,0.0
59,2.0,11.0,161.0,11.0
60,2.0,12.0,1.0,0.0
61,2.0,13.0,608.0,1.5
62,2.0,14.0,1037.0,15.0
63,2.0,15.0,1.0,0.0
64,2.0,16.0,1.0,0.0
65,2.0,17.0,1.0,0.0
