topics,mean_karma
research science students,8.40909090909
phd grad school,9.90909090909
grad help xpost,7.45833333333
phd advice program,11.2894736842
need phd writing,12.7941176471
questions doing hours,4.3
advice phd future,11.9142857143
phd help school,10.2432432432
teaching graduate academia,5.44444444444
phd got research,11.7692307692
