word1,word2,word3,mean karma
language,history,important,13.0
homo,like,meat,18.4285714286
genetic,study,want,12.2
human,huntergatherers,different,14.4
ancient,cities,day,37.8
long,yamnaya,preneolithic,19.0
did,humans,start,17.8571428571
think,modern,western,44.0
anthropology,taino,puerto,24.6666666667
race,question,map,15.6
