word1,word2,word3,mean karma
produce,hairs,hair,417.666666667
inverse,happens,power,22.3333333333
sodium,potassium,ama,4855.5
earth,possible,train,6.11111111111
does,water,form,518.8125
great,earth,structural,10.125
planetary,difference,size,1171.5
does,pointing,eye,553.733333333
stop,affect,food,2667.5
space,atmosphere,enter,6.25
